title,company,location,salary,description,skills
Data Scientist,Cloudify,Mumbai,1254470,Looking for a passionate developer to build scalable applications.,"Machine Learning, React, Pandas, Django, Docker"
Frontend Developer,TechNova,Kolkata,778833,Work on cutting-edge technologies and collaborate with a dynamic team.,"JavaScript, SQL, Machine Learning, AWS, Docker"
Backend Developer,DataCorp,Delhi,1199217,Work on cutting-edge technologies and collaborate with a dynamic team.,"Machine Learning, AWS, JavaScript"
UI/UX Designer,AlgoEdge,Delhi,1335367,Design and implement modern web interfaces.,"AWS, Docker, Django"
DevOps Engineer,DataCorp,Pune,2311745,Analyze data and build predictive models.,"TensorFlow, AWS, SQL, Python, React"
Software Engineer,Cloudify,Mumbai,916767,Analyze data and build predictive models.,"SQL, Python, Docker, TensorFlow, React"
Software Engineer,NextGen Labs,Pune,2352970,Develop and maintain high-quality software solutions.,"React, Machine Learning, TensorFlow, JavaScript"
Software Engineer,Cloudify,Pune,1426261,Work on cutting-edge technologies and collaborate with a dynamic team.,"SQL, JavaScript, Python, Pandas, React"
Software Engineer,TechNova,Chennai,2073268,Looking for a passionate developer to build scalable applications.,"React, Pandas, Docker, AWS"
Backend Developer,WebSphere,Delhi,1451616,Develop and maintain high-quality software solutions.,"Python, Django, Docker"
UI/UX Designer,NextGen Labs,Hyderabad,1971957,Work on cutting-edge technologies and collaborate with a dynamic team.,"Docker, Pandas, Django"
Data Scientist,TechNova,Chennai,534667,Looking for a passionate developer to build scalable applications.,"TensorFlow, Python, Pandas, AWS, Machine Learning"
Data Scientist,AlgoEdge,Hyderabad,1880298,Develop and maintain high-quality software solutions.,"TensorFlow, SQL, Machine Learning"
Backend Developer,CodeWorks,Chennai,507757,Develop and maintain high-quality software solutions.,"AWS, Pandas, React"
Frontend Developer,CodeWorks,Mumbai,566900,Design and implement modern web interfaces.,"Machine Learning, SQL, Django"
Data Scientist,ByteForge,Bangalore,434593,Develop and maintain high-quality software solutions.,"JavaScript, TensorFlow, Python, Machine Learning"
Data Scientist,Cloudify,Chennai,423895,Analyze data and build predictive models.,"Machine Learning, Django, Pandas"
Frontend Developer,WebSphere,Remote,2250143,Work on cutting-edge technologies and collaborate with a dynamic team.,"Django, Machine Learning, AWS, Docker"
Full Stack Developer,CodeWorks,Kolkata,2182190,Develop and maintain high-quality software solutions.,"SQL, Docker, Machine Learning, Pandas, React"
UI/UX Designer,WebSphere,Bangalore,1031357,Design and implement modern web interfaces.,"React, Python, TensorFlow, Pandas"
Data Scientist,CodeWorks,Delhi,1473071,Design and implement modern web interfaces.,"TensorFlow, SQL, Pandas, Docker"
DevOps Engineer,ByteForge,Mumbai,1240230,Analyze data and build predictive models.,"AWS, Python, Docker, TensorFlow, Pandas"
DevOps Engineer,CodeWorks,Hyderabad,1439917,Work on cutting-edge technologies and collaborate with a dynamic team.,"React, SQL, Django, TensorFlow"
Full Stack Developer,ByteForge,Mumbai,581135,Analyze data and build predictive models.,"JavaScript, React, Pandas, Docker, Python"
Full Stack Developer,WebSphere,Hyderabad,1837817,Design and implement modern web interfaces.,"Docker, SQL, AWS, TensorFlow, React"
Software Engineer,AlgoEdge,Bangalore,1134048,Work on cutting-edge technologies and collaborate with a dynamic team.,"SQL, Machine Learning, Pandas, Django, TensorFlow"
Python Developer,CodeWorks,Bangalore,473184,Design and implement modern web interfaces.,"Docker, AWS, Machine Learning, JavaScript, Django"
DevOps Engineer,ByteForge,Kolkata,1612989,Work on cutting-edge technologies and collaborate with a dynamic team.,"Pandas, Django, Docker, React, JavaScript"
UI/UX Designer,AlgoEdge,Chennai,1664296,Looking for a passionate developer to build scalable applications.,"Django, Docker, Pandas"
Full Stack Developer,WebSphere,Hyderabad,1044382,Looking for a passionate developer to build scalable applications.,"Python, AWS, Django, JavaScript"
Data Scientist,WebSphere,Remote,1120199,Develop and maintain high-quality software solutions.,"SQL, AWS, Docker"
Python Developer,CodeWorks,Mumbai,426266,Analyze data and build predictive models.,"AWS, Django, Pandas, React"
UI/UX Designer,WebSphere,Chennai,1467368,Analyze data and build predictive models.,"AWS, Docker, JavaScript, Django"
Software Engineer,DataCorp,Hyderabad,1054948,Develop and maintain high-quality software solutions.,"SQL, Docker, React"
Software Engineer,InnoSoft,Hyderabad,1339311,Analyze data and build predictive models.,"Django, AWS, SQL, Pandas, Python"
Data Analyst,AlgoEdge,Kolkata,1927637,Develop and maintain high-quality software solutions.,"SQL, TensorFlow, Python"
Frontend Developer,Cloudify,Pune,2107240,Looking for a passionate developer to build scalable applications.,"Django, Machine Learning, React, AWS, Docker"
DevOps Engineer,ByteForge,Chennai,2147721,Looking for a passionate developer to build scalable applications.,"Django, JavaScript, React"
Data Scientist,DataCorp,Bangalore,1775708,Work on cutting-edge technologies and collaborate with a dynamic team.,"SQL, TensorFlow, Machine Learning"
Software Engineer,Cloudify,Pune,1524497,Analyze data and build predictive models.,"Pandas, Machine Learning, SQL, React"
DevOps Engineer,TechNova,Hyderabad,495630,Analyze data and build predictive models.,"Pandas, Machine Learning, AWS, React"
DevOps Engineer,CodeWorks,Bangalore,1428493,Develop and maintain high-quality software solutions.,"Machine Learning, AWS, Python"
UI/UX Designer,AI Solutions,Bangalore,1544115,Looking for a passionate developer to build scalable applications.,"React, AWS, TensorFlow, Docker"
Data Scientist,AI Solutions,Pune,2018748,Work on cutting-edge technologies and collaborate with a dynamic team.,"SQL, AWS, Pandas, JavaScript"
Data Analyst,CodeWorks,Kolkata,865880,Design and implement modern web interfaces.,"React, Django, Pandas, AWS, Docker"
Data Scientist,CodeWorks,Hyderabad,868031,Develop and maintain high-quality software solutions.,"Docker, TensorFlow, React, AWS, Pandas"
Software Engineer,InnoSoft,Delhi,719615,Analyze data and build predictive models.,"React, Django, TensorFlow"
Frontend Developer,InnoSoft,Chennai,1562157,Design and implement modern web interfaces.,"React, AWS, JavaScript, SQL, Machine Learning"
Data Analyst,TechNova,Chennai,383472,Looking for a passionate developer to build scalable applications.,"JavaScript, React, Pandas, Python"
DevOps Engineer,AlgoEdge,Mumbai,1278045,Analyze data and build predictive models.,"SQL, Python, AWS"
Data Analyst,AlgoEdge,Pune,1340900,Develop and maintain high-quality software solutions.,"Python, Docker, SQL"
UI/UX Designer,CodeWorks,Pune,858710,Design and implement modern web interfaces.,"Python, React, TensorFlow"
Data Scientist,CodeWorks,Delhi,1956864,Analyze data and build predictive models.,"Docker, React, TensorFlow, AWS, JavaScript"
UI/UX Designer,ByteForge,Remote,968380,Design and implement modern web interfaces.,"Django, Machine Learning, React, JavaScript, AWS"
DevOps Engineer,NextGen Labs,Kolkata,1232076,Looking for a passionate developer to build scalable applications.,"Docker, JavaScript, TensorFlow, React, AWS"
Machine Learning Engineer,CodeWorks,Pune,1352161,Looking for a passionate developer to build scalable applications.,"Python, TensorFlow, AWS"
Full Stack Developer,WebSphere,Remote,1322942,Develop and maintain high-quality software solutions.,"Django, React, Python, JavaScript"
DevOps Engineer,AlgoEdge,Kolkata,628797,Design and implement modern web interfaces.,"Machine Learning, React, TensorFlow"
Full Stack Developer,AlgoEdge,Chennai,2296080,Looking for a passionate developer to build scalable applications.,"Pandas, Machine Learning, Python, JavaScript"
Data Scientist,AlgoEdge,Bangalore,1672491,Work on cutting-edge technologies and collaborate with a dynamic team.,"Machine Learning, React, TensorFlow, Docker"
Machine Learning Engineer,DataCorp,Chennai,1760612,Work on cutting-edge technologies and collaborate with a dynamic team.,"React, SQL, TensorFlow, AWS"
Data Analyst,TechNova,Delhi,390591,Develop and maintain high-quality software solutions.,"Python, JavaScript, TensorFlow, Django, SQL"
Python Developer,DataCorp,Hyderabad,1005708,Analyze data and build predictive models.,"Python, Pandas, React, TensorFlow"
Frontend Developer,DataCorp,Chennai,2337294,Design and implement modern web interfaces.,"TensorFlow, Python, Django"
Backend Developer,AlgoEdge,Delhi,814418,Develop and maintain high-quality software solutions.,"Pandas, TensorFlow, SQL, Machine Learning, React"
Software Engineer,InnoSoft,Delhi,393071,Analyze data and build predictive models.,"TensorFlow, React, AWS, SQL, JavaScript"
Machine Learning Engineer,CodeWorks,Pune,1361063,Work on cutting-edge technologies and collaborate with a dynamic team.,"Django, SQL, JavaScript"
Full Stack Developer,CodeWorks,Mumbai,1872446,Develop and maintain high-quality software solutions.,"SQL, AWS, Python, Pandas"
Data Scientist,AI Solutions,Mumbai,2441070,Design and implement modern web interfaces.,"Machine Learning, JavaScript, SQL"
Backend Developer,InnoSoft,Bangalore,2479517,Design and implement modern web interfaces.,"Machine Learning, React, SQL"
Software Engineer,ByteForge,Kolkata,468523,Design and implement modern web interfaces.,"Docker, JavaScript, Machine Learning, TensorFlow, Python"
UI/UX Designer,DataCorp,Kolkata,1571047,Looking for a passionate developer to build scalable applications.,"Machine Learning, Python, TensorFlow"
Backend Developer,Cloudify,Mumbai,2159616,Looking for a passionate developer to build scalable applications.,"Django, AWS, JavaScript, SQL"
Data Scientist,AlgoEdge,Pune,1989473,Develop and maintain high-quality software solutions.,"SQL, JavaScript, Pandas"
Machine Learning Engineer,NextGen Labs,Chennai,417617,Develop and maintain high-quality software solutions.,"JavaScript, TensorFlow, Python, Pandas"
Python Developer,AI Solutions,Delhi,1411464,Develop and maintain high-quality software solutions.,"JavaScript, Pandas, AWS, Python"
Frontend Developer,ByteForge,Hyderabad,1386080,Work on cutting-edge technologies and collaborate with a dynamic team.,"SQL, Docker, Python, Django"
Software Engineer,NextGen Labs,Mumbai,1299033,Work on cutting-edge technologies and collaborate with a dynamic team.,"JavaScript, React, Python"
Machine Learning Engineer,NextGen Labs,Delhi,1085201,Looking for a passionate developer to build scalable applications.,"TensorFlow, Pandas, SQL"
Data Scientist,WebSphere,Chennai,980129,Develop and maintain high-quality software solutions.,"JavaScript, Machine Learning, SQL"
UI/UX Designer,InnoSoft,Kolkata,901219,Design and implement modern web interfaces.,"Pandas, Django, React, TensorFlow"
Machine Learning Engineer,ByteForge,Pune,775145,Looking for a passionate developer to build scalable applications.,"Python, JavaScript, AWS"
Software Engineer,TechNova,Remote,1763488,Develop and maintain high-quality software solutions.,"Docker, SQL, AWS, React"
Python Developer,NextGen Labs,Hyderabad,1716455,Looking for a passionate developer to build scalable applications.,"Docker, React, Python, SQL"
Python Developer,Cloudify,Hyderabad,2439675,Looking for a passionate developer to build scalable applications.,"SQL, Python, Django"
Python Developer,Cloudify,Hyderabad,1122875,Develop and maintain high-quality software solutions.,"TensorFlow, Python, Docker, SQL, JavaScript"
Python Developer,WebSphere,Hyderabad,1945657,Looking for a passionate developer to build scalable applications.,"JavaScript, Pandas, AWS"
Full Stack Developer,CodeWorks,Hyderabad,1280140,Work on cutting-edge technologies and collaborate with a dynamic team.,"Docker, AWS, Machine Learning"
Data Scientist,ByteForge,Mumbai,1978339,Develop and maintain high-quality software solutions.,"React, Machine Learning, Python, SQL"
Full Stack Developer,WebSphere,Kolkata,1188877,Work on cutting-edge technologies and collaborate with a dynamic team.,"Django, Docker, Machine Learning, JavaScript"
Backend Developer,InnoSoft,Bangalore,2423287,Looking for a passionate developer to build scalable applications.,"TensorFlow, React, Python"
Data Analyst,TechNova,Remote,1057890,Design and implement modern web interfaces.,"Docker, JavaScript, Django"
Full Stack Developer,TechNova,Delhi,2386338,Looking for a passionate developer to build scalable applications.,"JavaScript, React, Pandas, TensorFlow"
Backend Developer,AI Solutions,Hyderabad,1196818,Develop and maintain high-quality software solutions.,"Machine Learning, Pandas, JavaScript"
Machine Learning Engineer,InnoSoft,Delhi,1440041,Work on cutting-edge technologies and collaborate with a dynamic team.,"Django, JavaScript, Docker, React"
Full Stack Developer,TechNova,Pune,1261017,Design and implement modern web interfaces.,"Django, Machine Learning, SQL, JavaScript, React"
Machine Learning Engineer,AlgoEdge,Delhi,1413531,Looking for a passionate developer to build scalable applications.,"Docker, React, Machine Learning, TensorFlow, JavaScript"
Python Developer,AI Solutions,Bangalore,1146414,Design and implement modern web interfaces.,"Machine Learning, TensorFlow, Docker, JavaScript"
DevOps Engineer,CodeWorks,Chennai,2300766,Work on cutting-edge technologies and collaborate with a dynamic team.,"Django, TensorFlow, SQL"
DevOps Engineer,AI Solutions,Delhi,2461984,Work on cutting-edge technologies and collaborate with a dynamic team.,"Django, Pandas, Python"
Software Engineer,DataCorp,Delhi,1527502,Looking for a passionate developer to build scalable applications.,"Django, Machine Learning, Pandas"
DevOps Engineer,DataCorp,Mumbai,882231,Develop and maintain high-quality software solutions.,"Pandas, JavaScript, Django"
Backend Developer,TechNova,Delhi,1121420,Design and implement modern web interfaces.,"TensorFlow, AWS, Machine Learning, React, Django"
Python Developer,ByteForge,Remote,2028280,Analyze data and build predictive models.,"AWS, Docker, SQL, Pandas"
Software Engineer,AI Solutions,Chennai,1140468,Design and implement modern web interfaces.,"Machine Learning, TensorFlow, AWS, Python"
DevOps Engineer,DataCorp,Kolkata,1832652,Design and implement modern web interfaces.,"Machine Learning, Django, Python, React, SQL"
DevOps Engineer,DataCorp,Remote,2278983,Looking for a passionate developer to build scalable applications.,"SQL, Django, Pandas"
Software Engineer,TechNova,Mumbai,1087023,Work on cutting-edge technologies and collaborate with a dynamic team.,"Machine Learning, SQL, Pandas, Docker, TensorFlow"
UI/UX Designer,InnoSoft,Delhi,1210397,Analyze data and build predictive models.,"Machine Learning, React, TensorFlow, SQL"
Backend Developer,DataCorp,Bangalore,1413621,Work on cutting-edge technologies and collaborate with a dynamic team.,"Python, Docker, Django"
Python Developer,TechNova,Pune,2243414,Analyze data and build predictive models.,"Docker, TensorFlow, AWS, SQL, Pandas"
Data Analyst,TechNova,Chennai,1115312,Analyze data and build predictive models.,"TensorFlow, React, SQL"
Full Stack Developer,TechNova,Mumbai,2085013,Develop and maintain high-quality software solutions.,"JavaScript, AWS, Machine Learning, React"
Frontend Developer,ByteForge,Bangalore,1126024,Work on cutting-edge technologies and collaborate with a dynamic team.,"SQL, AWS, Python, Django"
Frontend Developer,Cloudify,Mumbai,1399864,Design and implement modern web interfaces.,"Pandas, React, AWS, Django, Machine Learning"
Full Stack Developer,NextGen Labs,Kolkata,2248883,Work on cutting-edge technologies and collaborate with a dynamic team.,"TensorFlow, Docker, React, AWS"
Machine Learning Engineer,TechNova,Pune,2356678,Looking for a passionate developer to build scalable applications.,"Pandas, Machine Learning, JavaScript"
Python Developer,InnoSoft,Remote,823954,Looking for a passionate developer to build scalable applications.,"Docker, Pandas, TensorFlow"
Backend Developer,NextGen Labs,Delhi,1427813,Develop and maintain high-quality software solutions.,"Machine Learning, React, SQL, Python, Pandas"
Backend Developer,WebSphere,Bangalore,979249,Work on cutting-edge technologies and collaborate with a dynamic team.,"Machine Learning, AWS, TensorFlow, React, Docker"
Full Stack Developer,CodeWorks,Mumbai,912545,Develop and maintain high-quality software solutions.,"Pandas, Python, TensorFlow"
Software Engineer,CodeWorks,Pune,1756245,Work on cutting-edge technologies and collaborate with a dynamic team.,"Pandas, Docker, AWS, Machine Learning"
Full Stack Developer,DataCorp,Chennai,660531,Looking for a passionate developer to build scalable applications.,"Docker, JavaScript, Pandas, TensorFlow"
Full Stack Developer,NextGen Labs,Chennai,405021,Work on cutting-edge technologies and collaborate with a dynamic team.,"AWS, Pandas, Docker, TensorFlow, JavaScript"
Backend Developer,Cloudify,Hyderabad,1421582,Design and implement modern web interfaces.,"JavaScript, Python, AWS, React"
UI/UX Designer,CodeWorks,Mumbai,635369,Design and implement modern web interfaces.,"Django, SQL, AWS"
Backend Developer,ByteForge,Remote,1915780,Analyze data and build predictive models.,"Docker, SQL, Machine Learning"
Python Developer,AlgoEdge,Remote,575304,Analyze data and build predictive models.,"Pandas, Django, JavaScript, Docker, SQL"
DevOps Engineer,WebSphere,Chennai,2286221,Analyze data and build predictive models.,"Machine Learning, Django, Docker, TensorFlow, AWS"
Data Analyst,Cloudify,Hyderabad,2266029,Analyze data and build predictive models.,"AWS, React, Django"
DevOps Engineer,NextGen Labs,Hyderabad,2389915,Analyze data and build predictive models.,"TensorFlow, JavaScript, Machine Learning, AWS, Django"
Python Developer,ByteForge,Mumbai,1869154,Develop and maintain high-quality software solutions.,"JavaScript, SQL, Docker"
Full Stack Developer,TechNova,Mumbai,806458,Analyze data and build predictive models.,"JavaScript, Python, Docker, Pandas, TensorFlow"
Frontend Developer,TechNova,Hyderabad,547000,Analyze data and build predictive models.,"Python, SQL, Django, Pandas"
Python Developer,WebSphere,Chennai,1509846,Analyze data and build predictive models.,"Django, React, JavaScript, SQL"
Full Stack Developer,InnoSoft,Remote,635004,Looking for a passionate developer to build scalable applications.,"Docker, SQL, Machine Learning, Pandas"
Backend Developer,NextGen Labs,Delhi,317952,Analyze data and build predictive models.,"JavaScript, Django, SQL, React"
Data Analyst,NextGen Labs,Mumbai,1751428,Work on cutting-edge technologies and collaborate with a dynamic team.,"JavaScript, Django, Docker"
Backend Developer,NextGen Labs,Remote,2287594,Analyze data and build predictive models.,"Python, AWS, SQL, Docker, React"
Machine Learning Engineer,DataCorp,Hyderabad,1039854,Analyze data and build predictive models.,"Python, JavaScript, Django, Machine Learning"
Backend Developer,AI Solutions,Chennai,542867,Analyze data and build predictive models.,"Python, TensorFlow, Pandas, Django"
UI/UX Designer,ByteForge,Pune,1376639,Work on cutting-edge technologies and collaborate with a dynamic team.,"Pandas, AWS, React"
Software Engineer,DataCorp,Bangalore,1458570,Develop and maintain high-quality software solutions.,"Django, Python, React, JavaScript, Machine Learning"
Data Analyst,InnoSoft,Pune,2136526,Develop and maintain high-quality software solutions.,"AWS, Docker, SQL, Pandas"
Machine Learning Engineer,ByteForge,Hyderabad,1366015,Design and implement modern web interfaces.,"Pandas, Machine Learning, JavaScript"
Data Scientist,CodeWorks,Delhi,835881,Design and implement modern web interfaces.,"Machine Learning, Docker, Pandas, AWS"
Python Developer,DataCorp,Pune,1494488,Design and implement modern web interfaces.,"Machine Learning, SQL, Django, Pandas"
Machine Learning Engineer,DataCorp,Delhi,1702185,Design and implement modern web interfaces.,"Django, AWS, Pandas, JavaScript"
Data Analyst,TechNova,Bangalore,1662633,Analyze data and build predictive models.,"Machine Learning, Django, AWS"
Backend Developer,WebSphere,Hyderabad,754341,Work on cutting-edge technologies and collaborate with a dynamic team.,"React, Python, Machine Learning, AWS, TensorFlow"
Full Stack Developer,TechNova,Bangalore,1721050,Design and implement modern web interfaces.,"Machine Learning, Python, React, Pandas, TensorFlow"
Software Engineer,DataCorp,Kolkata,2384465,Analyze data and build predictive models.,"Pandas, Python, React"
Data Scientist,Cloudify,Hyderabad,421999,Analyze data and build predictive models.,"AWS, Python, SQL"
Python Developer,AlgoEdge,Mumbai,1426147,Looking for a passionate developer to build scalable applications.,"SQL, JavaScript, React, Docker"
Full Stack Developer,NextGen Labs,Pune,1894056,Design and implement modern web interfaces.,"JavaScript, Pandas, TensorFlow, Machine Learning, Docker"
UI/UX Designer,NextGen Labs,Pune,1655841,Design and implement modern web interfaces.,"Pandas, React, SQL, Docker, AWS"
Software Engineer,AlgoEdge,Bangalore,2249874,Work on cutting-edge technologies and collaborate with a dynamic team.,"AWS, TensorFlow, JavaScript"
Frontend Developer,WebSphere,Remote,1111100,Work on cutting-edge technologies and collaborate with a dynamic team.,"Pandas, AWS, React"
Data Analyst,CodeWorks,Pune,1050809,Design and implement modern web interfaces.,"Django, TensorFlow, Machine Learning"
Python Developer,TechNova,Pune,1932313,Work on cutting-edge technologies and collaborate with a dynamic team.,"JavaScript, AWS, Django, Pandas"
Full Stack Developer,WebSphere,Hyderabad,1047852,Analyze data and build predictive models.,"Docker, React, TensorFlow, Django, Machine Learning"
Backend Developer,Cloudify,Delhi,383694,Looking for a passionate developer to build scalable applications.,"Django, TensorFlow, JavaScript"
UI/UX Designer,InnoSoft,Hyderabad,382671,Work on cutting-edge technologies and collaborate with a dynamic team.,"Django, React, Machine Learning, TensorFlow, Python"
Data Analyst,AlgoEdge,Remote,415624,Design and implement modern web interfaces.,"Django, Machine Learning, React, JavaScript, SQL"
Backend Developer,InnoSoft,Delhi,1826267,Looking for a passionate developer to build scalable applications.,"Pandas, AWS, Python"
Python Developer,TechNova,Chennai,1113053,Looking for a passionate developer to build scalable applications.,"Machine Learning, React, TensorFlow, AWS, JavaScript"
Machine Learning Engineer,AI Solutions,Remote,1148992,Analyze data and build predictive models.,"SQL, React, Python"
